V,,1,2,3,4,5,6,7,8,9,10,11,12
94.9,1,0,132.8,86.5,48.5,178.9,185.0,254.2,222.8,254.6,312.2,226.4,172.0
217.1,2,132.8,0,93.2,169.5,272.3,108.6,156.1,287.3,276.3,258.1,352.5,302.4
139.2,3,86.5,93.2,0,98.0,180.0,100.4,171.2,195.5,197.0,227.4,308.6,229.2
48.5,4,48.5,169.5,98.0,0,131.8,197.2,268.3,181.3,225.0,306.2,214.9,133.9
99.3,5,178.9,272.3,180.0,131.8,0,247.5,311.1,71.0,152.7,292.4,268.0,133.1
234.0,6,185.0,108.6,100.4,197.2,247.5,0,71.2,234.8,194.5,150.0,409.0,323.9
304.7,7,254.2,156.1,171.2,268.3,311.1,71.2,0,288.1,230.5,127.5,479.4,394.5
161.3,8,222.8,287.3,195.5,181.3,71.0,234.8,288.1,0,89.1,243.0,339.0,204.0
222.2,9,254.6,276.3,197.0,225.0,152.7,194.5,230.5,89.1,0,159.6,412.7,283.4
326.7,10,312.2,258.1,227.4,306.2,292.4,150.0,127.5,243.0,159.6,0,519.1,407.6
194.4,11,226.4,352.5,308.6,214.9,268.0,409.0,479.4,339.0,412.7,519.1,0,137.6
90.2,12,172.0,302.4,229.2,133.9,133.1,323.9,394.5,204.0,283.4,407.6,137.6,0
