FID,数量,X,Y
0,0,117.154169953999997,34.182393325400000
1,0,117.183179322000001,34.196220134000001
2,0,117.184008875999993,34.195984344700001
3,0,117.183445151000001,34.194813844499997
4,0,117.182660764999994,34.194914398999998
5,0,117.105369010000004,34.241623890600003
6,0,117.154996488999998,34.182422197800001
7,0,117.180592404999999,34.195371352199999
8,0,117.180647637999996,34.196267311299998
9,0,117.180370346000004,34.193769747600001
10,0,117.180238039000002,34.192709350199998
11,0,117.180624137999999,34.191105814700002
12,0,117.181237932000002,34.190405202800001
13,0,117.179231564000006,34.192536761900001
14,0,117.178874011999994,34.191279804600001
15,0,117.178972697000006,34.191570499500003
16,0,117.178316421000005,34.190930099799999
17,0,117.176879016000001,34.195247877100002
18,0,117.173768933999995,34.192032548400000
19,0,117.173823413999997,34.192657353300000
20,0,117.173973404999998,34.193233402899999
21,0,117.174066370999995,34.194228773600003
22,0,117.173874682000005,34.191645596699999
23,0,117.172717481999996,34.191382699999998
24,0,117.171263777999997,34.191657435700002
25,0,117.171441727000001,34.192682253000001
26,0,117.174525377999998,34.191610182300003
27,0,117.175432553999997,34.195720841200000
28,0,117.176132183999997,34.194374589299997
29,0,117.176738650999994,34.193411577399999
30,0,117.176625379000001,34.192551207000001
31,0,117.175553460000003,34.191383944300000
32,4,117.137484435000005,34.201700947200003
33,4,117.136585052000001,34.200644152499997
34,4,117.135099225000005,34.202216852900001
35,4,117.136245658999997,34.201633725000001
36,4,117.135726769000001,34.200706175400001
37,4,117.134557436999998,34.200696141599998
38,4,117.135390044000005,34.200043199699998
39,4,117.135473669000007,34.199057150999998
40,4,117.135456532000006,34.197788527900002
41,0,117.181963586999998,34.204971893200003
42,4,117.185955000999996,34.194516095700003
43,0,117.179232368000001,34.187012044299998
44,0,117.181785113000004,34.202602114400001
45,0,117.179668249000002,34.184125646399998
46,4,117.135333016999994,34.196867450699997
47,4,117.134636783999994,34.198408937400004
48,4,117.133234732000005,34.197513484200002
49,4,117.131960860999996,34.197797653000002
50,4,117.136864621000001,34.202583181599998
51,0,117.184728551000006,34.204154501799998
52,0,117.184896158000001,34.204658326299999
53,0,117.183680264000003,34.204393007999997
54,0,117.184783553000003,34.202820554699997
55,0,117.184819985000004,34.202500880300001
56,0,117.186422110999999,34.200797186999999
57,0,117.185217214999994,34.201161565600003
58,0,117.184809700000002,34.201219426300000
59,0,117.183842382999998,34.201271923599997
60,0,117.183070154000006,34.201357514700000
61,0,117.181882356000003,34.201228730700002
62,0,117.185094468000003,34.199822791599999
63,0,117.184512269999999,34.199459523800002
64,0,117.170830491999993,34.191652557700003
65,0,117.132663143000002,34.166809188499997
66,0,117.133648590999996,34.166796379099999
67,0,117.132581231000003,34.166195502100003
68,0,117.132553791999996,34.165470021300003
69,0,117.133259275000000,34.165204893400002
70,0,117.136092665000007,34.166839887499997
71,0,117.134700859000006,34.166793717899999
72,0,117.134508906999997,34.166384462600000
73,0,117.135449863000005,34.165628101899998
74,0,117.135985148000003,34.171086428400002
75,0,117.135300072000007,34.170953245299998
76,0,117.135930200000004,34.170316333300001
77,0,117.135309114999998,34.170308648300001
78,0,117.133959645999994,34.170374308600003
79,0,117.133936930000004,34.170871027600001
80,0,117.133991452000004,34.171381615800001
81,0,117.133872945999997,34.169708309699999
82,0,117.134944161999996,34.169513359800000
83,0,117.134455939000006,34.169270601800001
84,0,117.133179764999994,34.169301983700002
85,0,117.132991297000004,34.168551854999997
86,0,117.133368938000004,34.167821562900002
87,0,117.135704752999999,34.167804691000001
88,0,117.135924187000001,34.168644051900003
89,0,117.135621502999996,34.169578763799997
90,0,117.140063948999995,34.175348063999998
91,0,117.139737573999994,34.174664668299997
92,0,117.141419737000007,34.173788154800000
93,0,117.141731338000000,34.174783234000003
94,0,117.143675056999996,34.174720547800000
95,0,117.139172496000000,34.173084694099998
96,0,117.140292446000004,34.172377389200001
97,0,117.140745081000006,34.173057458400002
98,0,117.142236986000000,34.172836295899998
99,0,117.168030662999996,34.175359008400001
100,0,117.168153341999997,34.174993898899999
101,0,117.168870231000000,34.174709071499997
102,0,117.169034190999994,34.174899665300003
103,0,117.167495948999999,34.173438690700003
104,0,117.167144125999997,34.174168555900003
105,0,117.168489925000003,34.173858621999997
106,0,117.170053977999999,34.171976422400000
107,0,117.170144024999999,34.172993998800003
108,0,117.170248856000001,34.173750767199998
109,0,117.107948432000001,34.219161573299999
110,0,117.109696638000003,34.215839662699999
111,0,117.109504024000003,34.217378673500001
112,0,117.110817644999997,34.216294603400002
113,0,117.129273560000001,34.204709576799999
114,0,117.130335153999994,34.204308928400003
115,0,117.130116548999993,34.203722792999997
116,0,117.132775930999998,34.204678008499997
117,0,117.133412344999996,34.203188540600003
118,0,117.159520560000004,34.191595868900002
119,0,117.131563693000004,34.203582111899998
120,0,117.133266230000004,34.202768105200001
121,0,117.134525721000003,34.204086554200003
122,0,117.127522201999994,34.202730141700002
123,0,117.129579403999998,34.203236039200000
124,0,117.126279797999999,34.201492493499998
125,0,117.130170698000001,34.200193407999997
126,0,117.131548187999996,34.199912072200000
127,0,117.176030496999999,34.184856968399998
128,0,117.211242741999996,34.186326987599998
129,0,117.212100432000000,34.186508694099999
130,0,117.211102322000002,34.185874705200000
131,0,117.211045537000004,34.184740388199998
132,0,117.213647039999998,34.186522024299997
133,0,117.212439637000003,34.185758860200004
134,0,117.211173570000000,34.185056846599998
135,0,117.211961590000001,34.185216491600002
136,0,117.207984522999993,34.180863415499999
137,0,117.208594610000006,34.180947850499997
138,0,117.208714924000006,34.181243811999998
139,0,117.208214923000000,34.180020243400001
140,0,117.208399197000006,34.177732494399997
141,0,117.208228425000001,34.178312395699997
142,0,117.164600285000006,34.186316681000001
143,2,117.147805816000002,34.190204710200000
144,2,117.146231587000003,34.189462405400000
145,2,117.149634827000000,34.188177721700001
146,2,117.150249298999995,34.186813128200001
147,2,117.148682914999995,34.185901270300000
148,2,117.147911438999998,34.187126159400002
149,0,117.151578026999999,34.188481690499998
150,0,117.152101162999998,34.188214230900002
151,0,117.151800639000001,34.187773002100002
152,0,117.153111805999998,34.187473218999997
153,0,117.150135841999997,34.185768903200000
154,0,117.152816924999996,34.185946338400001
155,0,117.161075827000005,34.195399894300003
156,0,117.158799036000005,34.194114991900001
157,0,117.159643193999997,34.192649438700002
158,0,117.161439303999998,34.193627112700000
159,0,117.156377664000004,34.162845761299998
160,0,117.161018186000007,34.187654644200002
161,0,117.219886665999994,34.194933778900001
162,0,117.218510198999994,34.195022839899998
163,0,117.219661294000005,34.195909557999997
164,0,117.216999037999997,34.196433479400000
165,0,117.217621863999995,34.196028478099997
166,0,117.216128276999996,34.196442914499997
167,0,117.215916682000000,34.195621815899997
