FID,数量,X,Y
0,0,117.156339552000006,34.289076105200003
1,0,117.120832507000003,34.312331591099998
2,0,117.128336081000000,34.307452182100000
3,0,117.128220118000002,34.307783946400001
4,0,117.124159207999995,34.310136332200003
5,0,117.125079061999998,34.309372597799999
6,0,117.124406081999993,34.309121407299997
7,0,117.123243466000005,34.308215710100001
8,0,117.123366047999994,34.307521498100002
9,0,117.124571986000007,34.308601243200002
10,0,117.124685271000004,34.308115835899997
11,0,117.125174297000001,34.308585485099997
12,0,117.125290293999996,34.307509139300002
13,0,117.118591997999999,34.306800041999999
14,0,117.119246189999998,34.306353090499996
15,0,117.120977553000003,34.306958927399997
16,0,117.137162235000005,34.313776336700002
17,0,117.136134537000004,34.314071668099999
18,0,117.136372914999995,34.313546584999997
19,0,117.136464036000007,34.313165820099996
20,0,117.136581434999997,34.312833175000002
21,0,117.131268571999996,34.291635370000002
22,0,117.131809052999998,34.291388004900000
23,0,117.127636140999996,34.292410741300003
24,0,117.128277433999997,34.292518721599997
25,0,117.143638675999995,34.295589250299997
26,0,117.143886152999997,34.295032989500001
27,0,117.140575967000004,34.292322856699997
28,0,117.142007379999995,34.292973359000001
29,0,117.142340529999998,34.292391463599998
30,0,117.140359255999996,34.294527528700002
31,0,117.140263520999994,34.295829862300003
32,0,117.140353271999999,34.295126891800003
33,0,117.141047866999997,34.294815550899997
34,0,117.142075669999997,34.300760908699999
35,0,117.142106682000005,34.300456694300003
36,0,117.142207620999997,34.299830170500002
37,0,117.143171425000006,34.299984780599999
38,0,117.142852374000000,34.299628460199997
39,0,117.143238390999997,34.300506332799998
40,0,117.143360676000000,34.301062358000003
41,0,117.143286681999996,34.301358913500003
42,0,117.142639615999997,34.301296241800003
43,0,117.138908826000005,34.324510944099998
44,0,117.139160527000001,34.323662569600003
45,0,117.139636780000004,34.324169489299997
46,0,117.140081257000006,34.324617005000000
47,0,117.140816298000004,34.325346754100003
48,0,117.141314828000006,34.324415689500000
49,0,117.141944558999995,34.324761596599998
50,0,117.141875322999994,34.325310389400002
51,0,117.141755011000001,34.325728809300003
52,0,117.139589330000007,34.322971092499998
53,0,117.139510352000002,34.322152393499998
54,0,117.139782203999999,34.321373946000001
55,0,117.139974301999999,34.320808429200000
56,4,117.220183876999997,34.284806498400002
57,4,117.220520997999998,34.283827823899998
58,4,117.221847127999993,34.283867584699998
59,4,117.221354786999996,34.284234925000000
60,4,117.218329166000004,34.281465315699997
61,4,117.217368841999999,34.281531518900003
62,4,117.218089328000005,34.281820891899997
63,4,117.218064237999997,34.282914981499999
64,4,117.217456878999997,34.282677787799997
65,4,117.218259962999994,34.282329310000001
66,4,117.215252344999996,34.281867516100000
67,4,117.216040776000000,34.282053260300003
68,4,117.217068870000006,34.282563615500003
69,4,117.216674345000001,34.282028374900001
70,4,117.215942761999997,34.281326154500000
71,4,117.212136908000005,34.279077089300003
72,4,117.211189348999994,34.278647482899999
73,4,117.211498018000000,34.277528653700003
74,4,117.213049831999996,34.278033191600002
75,4,117.213833503999993,34.276906378200003
76,4,117.211811003999998,34.276021229400001
77,4,117.214037215999994,34.275913498400001
78,4,117.211642888000000,34.274544566199999
79,4,117.212747209000000,34.275203930200000
80,4,117.213561569999996,34.274735580700003
81,4,117.209490138999996,34.275887048400001
82,4,117.209978938999996,34.275589034399999
83,4,117.208997595000000,34.278653020800000
84,4,117.208008047000007,34.279236359800002
85,4,117.208755799000002,34.278051205499999
86,4,117.206380812000006,34.276530881699998
87,4,117.206788494999998,34.276790966199997
88,4,117.208342361000007,34.274311113300001
89,4,117.208204937000005,34.275085920300000
90,4,117.208469264000001,34.276328301800000
91,4,117.207848404999993,34.275975998200003
92,4,117.209114278000001,34.279481911300003
93,4,117.207727684000005,34.277843314099997
94,4,117.208436489999997,34.277244858400003
95,4,117.209367788999998,34.277038622299997
96,4,117.205712962000007,34.275947550600002
97,4,117.205677729000001,34.275343497900003
98,0,117.208906353000003,34.280313425999999
99,0,117.195621148000001,34.272843056900001
100,0,117.175682383999998,34.274450185200003
101,0,117.203242248999999,34.275296688300003
102,0,117.189479917000000,34.302735310499997
103,0,117.177308882000005,34.273883496099998
104,0,117.196257297000002,34.285176089899998
105,0,117.195222279000006,34.283472217200000
106,0,117.152164231000000,34.298935213999997
107,0,117.198658319000003,34.283609485200003
108,0,117.197443352999997,34.280244303400004
109,0,117.197391260000003,34.281443950499998
110,0,117.197529825000004,34.282376800500003
111,0,117.198512437999995,34.282897229000000
112,0,117.199106931000003,34.282703101899997
113,0,117.198363813000000,34.282054985300000
114,0,117.198426931000000,34.281220159400000
115,0,117.197832820000002,34.280974777600001
116,0,117.197844333999996,34.282761061599999
117,0,117.155651594999995,34.277491558100003
118,0,117.196906810000002,34.272156078099997
119,4,117.203835397000006,34.277502191000004
120,4,117.206273648999996,34.274816125199997
121,4,117.205870726000001,34.274570516899999
122,0,117.192328161999995,34.275063230199997
123,0,117.190191292999998,34.275238565499997
124,0,117.184438030999999,34.277051937800003
125,0,117.186170634999996,34.277105341000002
126,0,117.220190345000006,34.289026122999999
127,0,117.177148798999994,34.274671141600002
128,0,117.176765633000002,34.274454165500003
129,0,117.177754968000002,34.274361142300002
130,0,117.177138232999994,34.274565254400002
131,0,117.177913520000004,34.284893715999999
132,0,117.180593056999996,34.284884154700002
133,0,117.180563663000001,34.284640412300000
134,0,117.180557586999996,34.284379385599998
135,0,117.177913076999999,34.284783393399998
136,0,117.179074193999995,34.284485604799997
